****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362221 ******* 

Variable    Labels
ER37166    G40C WHETHER HEAD OTR PENSION           
ER37167    OTHER PENSION OF HEAD                   
ER37183    G44A WTR UNEMPL COMP OF HEAD            
ER37184    AMT UNEMPL COMP OF HEAD                 
ER37199    G44B WTR WORKMEN COMP OF HEAD           
ER37200    AMT WORKMEN COMP OF HEAD                
ER37215    G44C WTR CHILD SUPPORT OF HD            
ER37216    AMT CHILD SUPPORT OF HD                 
ER37728    W135 PARENTS POOR OR?--HD               
ER38202    H1 HEALTH STATUS-HEAD                   
ER39299    H1 HEALTH STATUS-WIFE                   
ER40565    L40 RACE OF HEAD-MENTION 1              
ER41027    TOTAL FAMILY INCOME-2006                
ER41029    CENSUS NEEDS STANDARD-2006              
ER41033    BEALE RURAL-URBAN CODE                  
ER41037    COMPLETED ED-HD                         
ER41041    COUPLE STATUS OF HEAD                   
ER33901    2007 INTERVIEW NUMBER                   
ER33902    SEQUENCE NUMBER                       07
ER33903    RELATION TO HEAD                      07
ER33913    EMPLOYMENT STATUS                     07
ER42001    RELEASE NUMBER                          
ER42002    2009 FAMILY INTERVIEW (ID) NUMBER       
ER42003    PSID STATE OF RESIDENCE CODE            
ER42017    AGE OF HEAD                             
ER42018    SEX OF HEAD                             
ER42020    # CHILDREN IN FU                        
ER42021    AGE YOUNGEST CHILD                      
ER42025    A4 TYPE DU                              
ER42029    A19 OWN/RENT OR WHAT                    
ER42090    A36 IN PUBLIC OWND PROJ?                
ER42708    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER43059    G25E WHETHER ADC/TANF HEAD              
ER43060    ADC/TANF OF HEAD                        
ER43075    G25F WHETHER SSI HEAD                   
ER43077    SSI OF HEAD                             
ER43092    G25G WHETHER OTHER WELFARE HD           
ER43093    OTHER WELFARE OF HEAD                   
ER43109    G37 WHETHER HEAD VA PENSION             
ER43110    VA PENSION OF HEAD AMT                  
ER43125    G40A WTR NONVA RETIREMT-HEAD            
ER43126    NONVA RETIREMENT-HEAD                   
ER43141    G40B WHETHER HEAD ANNUITIES             
ER43142    ANNUITIES OF HEAD                       
ER43157    G40C WHETHER HEAD OTR PENSION           
ER43158    OTHER PENSION OF HEAD                   
ER43174    G44A WTR UNEMPL COMP OF HEAD            
ER43175    AMT UNEMPL COMP OF HEAD                 
ER43190    G44B WTR WORKMEN COMP OF HEAD           
ER43191    AMT WORKMEN COMP OF HEAD                
ER43206    G44C WTR CHILD SUPPORT OF HD            
ER43207    AMT CHILD SUPPORT OF HD                 
ER44175    H1 HEALTH STATUS-HEAD                   
ER45272    H1 HEALTH STATUS-WIFE                   
ER46540    L37 PARENTS POOR OR?--HD                
ER46543    L40 RACE OF HEAD-MENTION 1              
ER46935    TOTAL FAMILY INCOME-2008                
ER46972    CENSUS NEEDS STANDARD-2008              
ER46975    BEALE RURAL-URBAN CODE                  
ER46981    COMPLETED ED-HD                         
ER46985    COUPLE STATUS OF HEAD                   
ER34001    2009 INTERVIEW NUMBER                   
ER34002    SEQUENCE NUMBER                       09
ER34003    RELATION TO HEAD                      09
ER34016    EMPLOYMENT STATUS                     09
ER47301    RELEASE NUMBER                          
ER47302    2011 FAMILY INTERVIEW (ID) NUMBER       
ER47303    PSID STATE OF RESIDENCE CODE            
ER47317    AGE OF HEAD                             
ER47318    SEX OF HEAD                             
ER47320    # CHILDREN IN FU                        
ER47321    AGE YOUNGEST CHILD                      
ER47325    A4 TYPE DU                              
ER47329    A19 OWN/RENT OR WHAT                    
ER47398    A36 IN PUBLIC OWND PROJ?                
ER48024    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER48381    G25E WHETHER ADC/TANF HEAD              
ER48382    ADC/TANF OF HEAD                        
ER48397    G25F WHETHER SSI HEAD                   
ER48399    SSI OF HEAD                             
ER48414    G25G WHETHER OTHER WELFARE HD           
ER48415    OTHER WELFARE OF HEAD                   
ER48435    VA PENSION OF HEAD AMT                  
ER48450    G40A WTR NONVA RETIREMT-HEAD            
ER48451    NONVA RETIREMENT-HEAD                   
ER48466    G40B WHETHER HEAD ANNUITIES             
ER48467    ANNUITIES OF HEAD                       
ER48482    G40C WHETHER HEAD OTR PENSION           
ER48483    OTHER PENSION OF HEAD                   
ER48499    G44A WTR UNEMPL COMP OF HEAD            
ER48500    AMT UNEMPL COMP OF HEAD                 
ER48515    G44B WTR WORKMEN COMP OF HEAD           
